Komentar,Bintang,Tanggal
oh oh,5,2025-11-01 18:58:19
"Bagus, Tapi masih banyak yang kurang, seperti tampilan ui ux kurang memuaskan, fitur yang tidak dijelaskan maksud kegunaannya, membuat penggunanya kebingungan, dan terkait fungsi respon kecepatan dalam terjadinya gempa, saya rasa masih kurang, mungkin di akibatkan sedikitnya sensor untuk pantauan gempa dan kekurangan dana untuk membelinya, tapi menurut saya tetap harus di optimalkan dan diperjuangkan sistem peringatan dini, tapi banyak solusi yang murah untuk merancang sistem sensor iot",3,2025-11-01 18:39:59
aplikasi nya agak lemot sama gak lengkap,4,2025-11-01 16:51:31
jadi tau cuaca dan informasi alam lainnya,5,2025-11-01 14:12:18
sangat membantu,5,2025-11-01 07:23:59
kurasi akurat,5,2025-11-01 06:45:33
Cek getaran akurat menggunakan aplikasi ini. Prediktif.,5,2025-11-01 00:57:25
Ui ketutupan,1,2025-11-01 00:33:15
ok,5,2025-10-31 20:35:13
sangat bagus dan cocok untuk di gunakan,5,2025-10-31 20:24:55
sangat membantu,5,2025-10-31 20:16:40
"Aplikasi yg akurat, sesuai keadaan langsung di lapangan atau daerah setempat, semoga lebih baik lagi dan banyak bermafaat bagi rakyat Indonesia, aku suka dan terima kasih.",5,2025-10-31 19:38:21
sangat membantu prakiraan Cuaca Sekitar,5,2025-10-31 19:10:58
"masih belum ada tampilan untuk widget, dan tidak bisa lokasi disematkan sesuai domisili",3,2025-10-31 07:06:52
"Akurat dan sangat membantu memperkirakan cuaca di sekitar daerah. Selalu kecolongan banjir dan aplikasi ini benar-benar menyelamatkan hidup saya, Terimakasih 🙏😇",5,2025-10-31 03:23:11
lumayan gempa rilll cuaca juga rill,5,2025-10-30 09:38:05
tidak Akurat katanya aplikasi cuaca paling akurat tulisannya hujan tapi gak hujan,1,2025-10-30 03:58:14
kenapa aplikasinya tidak bisa di buka?,1,2025-10-28 21:24:28
"Pemberitahuan peringatan cuacanya perlu diperbaiki karena selalu telat. Misalnya, peringatan hujan deras jam 15:35, tetapi notifikasi baru muncul jam 16:05.",3,2025-10-28 16:45:50
sering eror bug,1,2025-10-27 18:26:33
aplikasi nya ngebug mau keluar tapi gak bisa,4,2025-10-27 15:34:02
"gempa sudah selesai, baru notifikasi masuk. Mohon kinerja diperbaiki😌",3,2025-10-27 00:15:49
"Saran min, di cuaca harusnya bisa masukin alamat lebih dari 1, jadi bisa mantau cuaca beberapa daerah tanpa ganti ganti alamat",5,2025-10-26 19:30:35
bmkg meleset.bmkg orqng2nya pada tidur ya. masa hujan jam sampe jam 9 malam kenyataannya gak hujan. BMKG makan gaji buta ya,1,2025-10-25 11:33:38
Terima Kasih. 🙏🏻 Sangat Membantu Sekali.,5,2025-10-25 10:51:21
tolong untuk aplikasi BMKG tambahkan fitur widget cuaca dalam sehari terdiri dari beberapa jam di jamin oke lah ... kalau sudah saya kasih rating deh ... saya berharap ada yah kak,4,2025-10-25 05:18:38
tolong infonya gempa dan cuaca sangat sangat terlambat notifikasi pembemberitahuannya diharap untuk diperbaiki agar prediksi nitifikasi cepat masuk,2,2025-10-21 21:12:15
"Sangat membantu sihh..,tp kenapa titiknya gunung sahari ya skrang?",4,2025-10-21 06:40:46
aplikasi BMKG ini sangat bermanfaat untuk melihat kondisi cuaca terkini dan juga dilengkapi dengan pemberitahuan gempa,5,2025-10-20 16:59:44
gunung sahari terus..😄😄,2,2025-10-20 06:37:32
"informasi yang ditanpilkan tidak jelas, lemot",1,2025-10-19 17:49:49
sangat ber manfaat,5,2025-10-17 20:44:54
"sayang sekali, tidak ada widget",2,2025-10-15 09:56:43
"gak berkembang malah jadi berat, dan gak bisa lagi liat index ultraviolet.",2,2025-10-15 09:33:36
prakiraan cuacanya salah trus,1,2025-10-14 13:49:37
keren aku suka🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩,5,2025-10-14 08:01:00
sangat bermanfaat,5,2025-10-13 06:49:49
Aplikasi dari. Info. Bmkg ini tentunya sangat. Membantu dan dapat cepat mengetahui tentang peristiwa alam maupun bencana. Yang terjadi saat ini dan lebih dini. Sehingga kita dapat cepat mengetahui dan sama sama mengatasi dan memberikan bantuan yang dibutuhkan..,5,2025-10-12 22:24:52
kurang akurat,3,2025-10-12 15:12:21
"kebanyakan notifikasi berisik,,, notifikasi hujan dijakarta, padahal saya tinggal dijambi,, buat apa? tolong diperbaiki",1,2025-10-12 12:14:50
hari Minggu gak ada update untuk himawari-9 EH nya... uninstall dulu dah,1,2025-10-12 11:28:14
ok,5,2025-10-11 19:04:50
New version update version New update Version New Device Samsung galaxy New update Version supported on mobile,5,2025-10-11 17:19:06
"lokasi tidak bisa ganti, selalu di gunung sahari selatan,.. mode bahasa juga tidak bisa di ganti..",1,2025-10-11 01:47:01
Notifikasi Lokasi dan cuaca seharusnya langsung mendeteksi aktual lokasi. Tidak perlu mengatur secara manual.,1,2025-10-10 19:46:58
ok mantap,5,2025-10-10 16:01:05
HALO?INI APLIKASI PENYELAMAT BANYAK NYAWA TERUS INI ABIS UPDATE?KO TAMBAH MAKIN BURUK SIH?MASUK CUMAN MENTOK LOGO?SINYAL LANCAR TAPI LOST CONNECTION?TEFAKK!,1,2025-10-10 10:03:24
"Untuk fitur yang ada sudah bagus, tetapi tolong tambahkan notifikasi khusus terutama untuk gempa, peringatan dini tsunami, dan badai agar semakin lengkap",5,2025-10-10 10:01:16
apk error,1,2025-10-10 09:43:11
kurang akurat bikin satu kampung geger dengan mlesetnya prediksi cuaca,4,2025-10-09 20:42:37
info lokasi gunung sahari kapn mw diperbaiki.... sudah setengah tahun lho...,3,2025-10-09 15:23:34
tidak bagus jelek Lambat informasi,1,2025-10-08 16:40:43
perlu ditingkatkan lagi kemudahan pada tampilan android dan jangan ada iklan,4,2025-10-08 06:13:56
Kami sangat berharap aplikasi ini selalu menyediakan info yg terupdate. selalu di update cuaca maritimnya.,5,2025-10-07 15:19:39
"Desa/Kelurahan yang masuk wilayah Kabupaten Bogor, Kabupaten Bekasi & Kabupaten Tangerang kalau dapat notifikasi Peringatan Dini Cuaca wilayahnya bukan Peringatan Dini Cuaca untuk wilayah JABODETABEK.",2,2025-10-07 14:21:23
"Lokasi saya di Cilebut Barat, Sukaraja, Kabupaten Bogor kalau dapet notifikasi munculnya berita Peringatan Dini cuaca yang akan terjadi di Wilayah Jawa Barat (Jawa Barat nggak termasuk BoDeBek), tp ketika ubah lokasi secara manual menjadi Ciganjur, Jagakarsa, Jakarta dapet beritanya Jabodetabek. Jd yang wilayah Jabodetabek selain Jakarta kalau dapet notifikasi Peringatan Dini nggak sesuai wilayahnya. Dan tampilan bawah di perangkat saya (Galaxy A33 5G) bertabrakan dengan tombol Bilah Navigasi.",3,2025-10-05 17:18:24
"bagis, tapi tolong jika ada peringatan gempa ato apapun, terlalu telat taunya sehingga prsiapan kurang matang. tolong diperbaiki untuk notifikasi peringatan gempanya",3,2025-10-05 16:55:42
Di update malah BUG dimana-mana,1,2025-10-04 22:30:24
"ADMIN TOLONG APLIKASINYA DIPERBAIKI, UPDATE KOK JADI JELEK, TITIK LOKASI TDK SESUAI PADAHAL SUDAH DI SETTING MANUAL ATAU GPS",1,2025-10-04 19:54:05
"aplikasi ini tidak berguna, udah benar saya liat lokasi, misal besoknya hari cerah, ehh taunya hari hujan👎",1,2025-10-04 06:54:39
sangat membantu sekali,5,2025-10-03 19:28:25
"sangat bagus, sebagai panduan keseharian",5,2025-10-03 07:32:19
notifikasi gempanya terlambat 2jam setengah. informasi yang sangat2 terlambat. tolong di perbaiki,1,2025-10-03 06:27:20
baik,5,2025-10-03 00:56:50
gasuka.. aku liat real-time gempa bumi gak muncul sama sekali udah berhari hari. payah,1,2025-10-02 06:36:22
zaa,1,2025-10-01 23:20:06
fitur citra satelit error agaknya... tanggal benar tapi waktu yg ditunjukan tidak sesuai atau tidak realtime.,3,2025-10-01 13:05:16
hbs updet mlah sering keluar aplikasi sendiri,1,2025-10-01 10:57:32
Harap lokasi bisa diperbaiki agar bisa sesuai dengan lokasi pengguna aplikasi...sudah saya ubah lewat GPS maupun dengan memasukan kelurahan/desa lokasi tetap kembali lagi ke gunung sahari selatan setelah keluar dari aplikasi...karena saya sebagai pengguna ingin cepat untuk mengetahui perkiraan cuaca dilokasi saya secara otomatis setelah membuka aplikasi tanpa harus ubah lokasi secara manual,3,2025-10-01 05:19:34
"Sangat bagus, tapi kenapa titik lokasinya menjadi gunung sahari, padahal sudah setting lokasi pakai gps dan manual juga.",5,2025-10-01 00:00:53
sangat membantu,5,2025-09-30 23:59:13
sangat membantu kami sebagai relawan kemanusiaan... Terima kasih,5,2025-09-30 18:48:08
🤡,1,2025-09-30 15:29:50
sangat mambatu,5,2025-09-30 14:44:58
mohon sering diberitakan musim jarak 3 s/d 6 bulan yang akan datang,5,2025-09-30 08:53:40
Good,5,2025-09-30 06:11:38
"tolong di perbaiki lagi ya🙏 untuk pemberitahuan gempanya sangat lama sekitar 30 menit sesudah kejadian baru muncul pemberitahuan ,, seharusnya kan pas kejadian langsung ada tuh pemberitahuan nya,,lebih bagus sih sebelum nya,,, terimakasih",2,2025-09-30 05:44:38
daerah sampit kalimantan tengah gaada padahala ada kantor bmkg disini,4,2025-09-30 04:20:34
keren dan bagus,5,2025-09-29 23:25:13
nice,5,2025-09-29 23:01:29
oke,5,2025-09-29 21:38:10
akurat terimakasih sangat membantu,5,2025-09-29 18:19:46
sekarang kurang akurat infonya,3,2025-09-29 17:06:06
untuk lokasi Purwakarta hilang min,3,2025-09-29 15:03:11
sangat membantu,5,2025-09-29 14:10:04
sangat membantu,5,2025-09-29 12:50:37
bagus sekali!!!¡¡¡,5,2025-09-28 19:54:13
"Kocak bangetttt... Setelah di update, masa titiknya di gunung sahari terus, sudah diperbaiki pakai GPS dan pilih cara manual tetap aja balik ke GUNUNG SAHARI... padahal kita di Pekanbaru Riau.....",5,2025-09-28 16:36:27
"jelek kali, informasinya gak to the point, org mau cari tau cuaca jam sekian itu apa, kasih teks jugak biar paham, gak cuman gambar, kasih persentasi hujan berapa persen di jam sekian, bisa buat informasi yg bagus gk sih?, apa gunannya ni aplikasi info bmkg kalau informasi aja setengah""",1,2025-09-28 14:57:27
kok tambah ngaco,3,2025-09-28 11:04:41
mudah2 semakin akurat presiksi2'nya,5,2025-09-27 23:20:47
"di update makin parah , citra satelit gak bisa ditampilkan kadang eror. ganti vendor pembuat aplikasinya yg kompeten",1,2025-09-27 21:30:21
bagus,5,2025-09-27 21:16:06
"ok bisa membantu, dalam kewaspadaan",5,2025-09-27 19:13:45
aplikasi ini sangat di perlukan,5,2025-09-27 17:03:06
Sangat membantu sekali dalam mencari info cuaca 👍,5,2025-09-27 16:56:03
Alhamdulillah,5,2025-09-27 16:48:04
"baru aja dowload lang sing ada peringatan gempa aja terus beneran deh gempa,, bener bener akurat nih aplikasinya",5,2025-09-27 16:24:31
cukup baik,4,2025-09-27 15:13:57
kenapa setelah update citra satelit tidak bisa di buka,3,2025-09-27 10:56:42
bagus,5,2025-09-27 07:36:00
Bagus sekali...👍👍👍👍,5,2025-09-27 07:16:00
"nyaris tepat , sangat bagus sebagai panduan untuk rutinitas kegiatan dlm keseharian",5,2025-09-27 07:14:47
"Aplikasi yang sangat bagus dan sangat akurat,",5,2025-09-27 04:34:13
sangat membantu,5,2025-09-27 04:23:30
"baru aja pembaruan, citra satelit gk bisa dibuka",5,2025-09-27 03:16:21
sangat membantu sekali bagi saya pribadi dan instansi dalam memberingan informasi dini buat masyarakat,5,2025-09-26 22:47:16
kerenn....,5,2025-09-26 22:23:48
"Lambat banget sekarang Pemberitahuan gempa nya , semakin jelek aplikasinya",1,2025-09-26 21:46:21
tala lagi sakit,5,2025-09-26 21:04:11
mohot tambahkan mode gelap,3,2025-09-26 20:51:10
kenapa tidak bisa diperbarui terima kasih,4,2025-09-26 19:57:05
aplikasi ini sangat bermanfaat buat yang belum tau berita bencana,5,2025-09-26 16:48:51
aplikasi gak jelas buang duit rakyat,1,2025-09-25 17:29:02
"Kontribusi untuk cuaca tidak berguna. musalnya: Sudah diusulkan bahwa cuaca di lokasi Sukabakti, Curug, Tangerang, hujan lebat. tetapi di aplikasi tetap tertera BERAWAN. Jadi, untuk apa diminta ikut serta berkontribusi untuk cuaca jika aplikasi tidak diupdate?",3,2025-09-25 13:36:36
"Membantu Terutama Petani Penggarap Tembakau Untuk Berusaha Menghindari Adanya Kemungkinan Hujan Ringan Di musim Tembakau dan Waktu Menjemur Tembakau Rajangan di wilayah kami di musim bulan Agustus, September, Oktober ini juga saat musim hujan tiba untuk petani siap menanam palawija...dll Semoga Tim pengamat BMKG senantiasa di berikan kesehatan dan sukses selalu di bidangnya",5,2025-09-24 23:59:01
"sebenernya sih bagus ya, cuma tambahin dong peringatan dini gempa kek jepang biar bisa antisipasi",3,2025-09-22 22:48:45
kami di papua tp knp waktunya pake WIB. kan membingungkan.. tdk bsa atur zona waktu. tlong developer diperbaiki. 🙏,2,2025-09-22 17:18:19
"GPS/lokasi perangkat HP android tidak bisa disetting sesuai lokasi pemakai, beda jaraknya sampe 73 km dr perangkat. pdhal google GPS berjalan baik dan normal seduai lokasi perangkat.",3,2025-09-21 21:40:22
Tanjung Jabung Barat Jambi Tungkal Harapan,3,2025-09-20 05:24:59
sering banget kalau habis gempa mau lihat info titik gempa apk eror tolong diperbaiki,3,2025-09-19 23:56:28
"tidak akurat, butut",5,2025-09-19 23:13:52
oke👍,5,2025-09-19 21:20:00
aplikasi sampah pegawainya bayarane Tah gede tapi mending dukun....nglomboni udan ora ya udan jere terang ya udan gede,1,2025-09-19 20:56:20
aplikasinya bagus tapi diharapkan untuk kualitas udara bisa disesuaikan dengan lokasi kita,4,2025-09-19 16:47:56
akurat,5,2025-09-18 06:58:24
radar sering macet knp !?,3,2025-09-16 13:48:56
"Fitur radar gak berfungsi, apa anggaran lagi dikorupsi? Mikirlah kalian untuk orang lapangan perlu radar biar tau mau ujan atw nggak. Apa agama kalian gak ngajarin korupsi itu haram?? Atau masi beragama kalian??",3,2025-09-16 07:25:49
"Mohon bisa dijadikan widget pada smartphone , ini sudah sangat membantu",4,2025-09-14 22:07:55
apknya terlalu ribet... prediksi hujannya juga tidak ada...,1,2025-09-14 06:02:12
sayangnya tidak widget untuk layar depan,3,2025-09-13 07:32:08
Cuaca Terbaik 😇,5,2025-09-13 04:42:54
mantap,5,2025-09-13 03:02:37
kurang fokus / detail,5,2025-09-13 01:56:35
semoga BMKG LEBIH MAJU,5,2025-09-12 23:39:43
"nyesel update aplikasi BMKG, udah setting lokasi alamat saya malah terus-terusan kembali ke awal (Gunung Sahari Selatan) lagi. Tau gitu dari awal jangan di update",3,2025-09-12 14:35:26
tolong lah adain fitur widget biar tau kondisi cuaca secara langsung,5,2025-09-12 12:34:32
baik sekali,5,2025-09-11 22:25:50
apps bagus sayang pemberitauan telat....,2,2025-09-11 12:36:02
jadi tenang kalo ada becana alam jadi penyelat semua jadi aman,5,2025-09-09 20:07:36
"Buatin widget cuaca yang bisa kasih tau info cuaca, g3mpa, kualitas udara, kelembapan dll secara realtime",5,2025-09-09 18:09:44
"Tidak percaya dengan prakiraan cuaca, tidak membuktikan asli dengan situasi dan kondisi real terkini ditempat saya. Setelah saya riset prakiraan hanyala tipuan belaka.",1,2025-09-09 15:23:31
Berguna sekali.,5,2025-09-09 12:15:29
kurang akurat,2,2025-09-09 06:36:10
good,5,2025-09-08 14:42:53
sangat akurat,5,2025-09-07 14:14:42
"prakiraan cuacanya update doong, update. Prediksi berawan, tau tau hujan lebat",2,2025-09-06 20:44:05
"Gak ada akurat2nya ini aplikasi, kadang malu juga Makai aplikasi nihh, namanya aja yg mantab tapi hasilnya parah. berbenah lah lagi secepatnya.. seperti aplikasi tak bertuan😓",5,2025-09-06 19:01:12
SAMSUNG GALAXY j4,1,2025-09-04 18:11:52
Sangat canggih,5,2025-09-04 16:50:11
"Dapat informasi gempa bumi cepat dan akurat, mantab.",5,2025-09-04 09:50:08
"Tolong dong berita gempa itu di update secepatnya, Di google itu gempa udah ada updatenya tapi di bmkg nggak ada di update jg.",4,2025-09-04 08:27:43
04 September 2025 Barusan ada gempa beberapa menit yg lalu tapi dari BMKG belum ada penjelasannya.,3,2025-09-04 08:27:02
gak realtime ngasih tau info gempa nya,2,2025-09-03 07:08:46
bagus aplikasinya,5,2025-09-03 05:33:58
ok,1,2025-09-03 04:26:45
"untuk notifikasi klo ada gempa kenapa lambat bgt,. semisal ada gempa jam 8 notif y baru muncul sejam setelah nya... parah bgt..",1,2025-09-02 22:40:37
mantap,4,2025-08-31 18:26:01
"tidak akurat katanya cerah berawan gak taunya hujan bikin rugi hasil panen akhirnya banyak yg rusak,",1,2025-08-28 00:06:36
kesini cuma karena ada vtuber shinna di akun tiktok stasiun Geofisika Gowa,5,2025-08-25 16:07:33
"Usahakan kalau bikin aplikasi yang bisa di gunakan di hp ram besar dan ram kecil,usahakan aplikasi bisa di gunakan di andrid versi 4kitkat.sekian dan terimakasih.",5,2025-08-25 06:14:43
"ga akurat untuk cuacanya, bahkan sangat sangat ga akurat, diprediksi hujan malah terang, terang malah hujan. klo ada hujan prediksi langsung dirubah, smua orang jga bsa klo seperti itu mh.",1,2025-08-24 08:45:59
"lokasi cuaca tidak bisa di atur, selalu hanya di gunung sahari",3,2025-08-23 21:11:40
sangat membantu,5,2025-08-23 16:26:07
Tanggal 18 Agustus 2025 pukul 06.39 aplikasi BMKG error. Aplikasi INFO BMKG Tidak memiliki informasi tentang Vulkanologi. Informasi Vulkanologi itu kan ranahnya BMKG. Kedepannya info BMKG menambahkan Info aktivitas Vulkanik supaya pendaki atau orang yang beraktifitas dekat dengan vulkano tahu indikasi bahaya atau tidak nya.,1,2025-08-23 15:14:46
"sangat bermanfaat,",5,2025-08-23 10:45:24
"aplikasi udah Bagus, tapi saya ingin request ada mode gelap di aplikasi ini terimakasih 🙏🏻",5,2025-08-22 22:28:24
Halo! Bisakah saya mendapatkan info selengkapnya tentang ini?,5,2025-08-22 19:49:36
aplikasi buatan pemerintah yang paling worth it 😍 semangat terus buat developernya 🫰,5,2025-08-22 15:04:57
"gabisa menampilkan lokasi terkini yg akurat, serta pemberitahuan bencana nya telat terus.",1,2025-08-21 21:30:09
"Radar cuaca mati,min!!",2,2025-08-21 16:19:24
Sangat Akurat dan Cepat Dalam Memberikan informasi tentang Cuaca.,5,2025-08-21 11:48:04
udah jauh jauh lebih baik tapi sekarang ada bug uv index tidak bisa ditampilkan dan saya harap bisa zoom in gambar peta peringatan cuacanya. karena terlalu kecil untuk dilihat. + fitur radarnya ga berfungsi,4,2025-08-21 11:34:38
"biasanya pemberitahuannya lambat banget biasa jga gak ada pdhl jelas"" di sini ada gempa",1,2025-08-21 10:34:10
aplikasinya gabisa dibuka👎,1,2025-08-21 06:29:16
gempa di jakarta notifikasi 1 jam setelah kejadian..... bagaimana ini,1,2025-08-21 06:10:40
kenapa punya ku jadi hitam doang. ga nongol aplikasinya?,1,2025-08-20 23:25:22
knpa hbis di update apknya jdi item doang layarnya kek loding mulu mana lama😕,3,2025-08-20 23:23:47
"Masih kurang akurat, gempa udh terjadi, 30 menit kemudian notifnya baru muncul",2,2025-08-20 23:02:06
BMKG Sangat berguna untuk Impo gempa bumi,5,2025-08-20 20:59:14
bagus,5,2025-08-20 20:52:51
"tambahkan opsi pengaturan utk notifikasi. cthnya sprti apakah notifikasi utk cuaca / gempa, lalu bisa di filter jarak dari titik, minimal amplitudo, dan lainnya. nah nanti advance nya notifikasi berbentuk voice text to speech.nggak usah pakai fitur voice search segala, pasti yg pakai dikit.",3,2025-08-20 20:49:43
bagus sekali,5,2025-08-20 20:46:36
min bisa gak di atur tampilan terang dan gelap biar mata gak silau terimakasih 🙏,2,2025-08-20 20:40:04
Sangat Bermanfaat Info Real Time,5,2025-08-20 20:38:58
bagussss,5,2025-08-20 20:38:46
lambat,2,2025-08-20 20:37:13
"aplikasi sama kejadian beda jauh. selisih sekitar 30,menit.",1,2025-08-20 20:28:38
"sekarang aplikasinya kurang uptudate, ada gempa / hujan setelah 10menit lebih baru di infoin 🙈🙈🙈 kurang akurat",2,2025-08-20 20:19:42
mengapa saat terjadi gempa hari ini tidak ada peringatan.,5,2025-08-20 20:17:51
ga bisa dibuka SDH install,2,2025-08-20 20:17:37
sebenarnya aplikasi ini bagus dalam memberikan informasi bencana alam mau pun kondisi alam hanya ketepatannya perlu diperbaiki lagi termasuk navigasi dan lokasi,5,2025-08-20 20:14:34
notifnya lama. ud rame beredar gempa bRu stngah jam kdang Berjam2 Bru muncul tlong perbaiki sistemnya kaya djepang notif cepet KL ad apa²,3,2025-08-20 20:12:25
lemoott,1,2025-08-20 20:10:47
"apaan aplikasi g ngerti deh in, ad gempa tp notifikasi g ad",1,2025-08-20 20:10:47
sangat tepat,5,2025-08-20 20:09:47
"tolong kalau ada kejadian gempa kabarin secepatnya ini udah setengah jam gempa Bekasi belum ada alarem kalau gempa potensi tsunami bisa mati di seret air,,tolong",1,2025-08-20 20:09:43
"informasi mengenai gempa sangat telat, sudah 4 menit sejak gempa belum ada informasi apapun. sangat lambat. harus buka google dulu baru dapat info",1,2025-08-20 20:08:13
Gempa jam 20.00.Tgl.20 Agustus 2025.Lokasi Bekasi kedalaman 10 km.APP TIDAK BERGUNA.WAJIB DI UNINSTAL DAN DI HAPUS DARI PLAY STORE !!!,1,2025-08-20 20:08:09
malu lah punya negara kok g akurat,1,2025-08-20 20:07:00
"kenapa jadi tidak bisa di buka ya, layar nya menjadi hitam",4,2025-08-20 20:06:05
barusan ada gempa. apk ini tidak ngasih info ap2.,1,2025-08-20 20:05:26
"gak cepat update kejadian,gak ada alarm pencegahan dini",1,2025-08-20 20:04:25
"heran kok gabisa set lokasi secara akurat, mana melenceng jauh",1,2025-08-20 20:04:08
kurang real-time.. 5- 10 menit baru ad notif,1,2025-08-20 20:03:15
telat ga update,1,2025-08-20 20:00:50
ga akurat,1,2025-08-20 19:59:26
"usahakan kalau bikin aplikasi ukuran mb jangan besar-besar,usahakan bisa di gunakan di hp ram kecil,usahakan jangan nglek,lemot,usahakan bisa di gunakan di android versi 5 lolipop dan versi 4 kitkat.",5,2025-08-20 17:50:56
"Radar cuaca tidak bisa dilihat. Semuanya terlihat polos, tidak ada citra radar cuaca apapun di semua lokasi",3,2025-08-20 15:47:11
tanggal 19 Agustus tampilan radar tidak bisa terlihat posisi daerah yang hujan,5,2025-08-19 18:39:31
Sangat membantu,5,2025-08-19 18:31:04
bagus,5,2025-08-19 16:40:27
Sebenarnya bagus tp akhir2 ini buat buka. Info cuaca... Radar.. Selalu eror dan tdk muncul awan.. Mohon atensinya di perbaiki..!!,3,2025-08-19 16:24:08
aplikasinya error. tidak bisa tampilkan data radar. data radar kosong. hp yang di pakai saat ini samsung galaxy m62. mohon diperbaiki. supaya data radar muncul di aplikasi.,2,2025-08-19 16:18:23
