Komentar,Bintang,Tanggal,clean_text,Sentimen,Aspek_Terdeteksi,Confidence_Score
"tidak bisa setting ke daerah setempat, sudah ganti gps, set ke lokasi saat ini, selalu berubah lsgi ke lokasi gunung sahari selatan. udh update masih jg. perbaiki ya.",1,2025-11-05 02:04:46,tidak bisa setting ke daerah setempat sudah ganti gps set ke lokasi saat ini selalu berubah lsgi ke lokasi gunung sahari selatan udh update masih jg perbaiki ya,Negatif,Performa,0.6741730570793152
Sangat membantu di keadaan anomali cuaca saat ini.,5,2025-11-04 23:50:13,sangat membantu di keadaan anomali cuaca saat ini,Positif,Akurasi,0.6465210318565369
potentially good ini. saya akan selalu kasih masukan baik buruknya ini aplikasi. beneran mirip view weather,5,2025-11-04 21:43:44,potentially good ini saya akan selalu kasih masukan baik buruknya ini aplikasi beneran mirip view weather,Positif,UI/UX,0.9513207077980042
Akurasinya bagus,5,2025-11-04 21:18:21,akurasinya bagus,Positif,UI/UX,0.5245495438575745
aplikasi yang sangat bagus dan sangat akurat,5,2025-11-04 18:11:32,aplikasi yang sangat bagus dan sangat akurat,Positif,UI/UX,0.9551917910575867
kurang akurat. terjadi satu jam baru informasinya keluar,1,2025-11-04 16:29:13,kurang akurat terjadi satu jam baru informasinya keluar,Negatif,Performa,0.5004144906997681
oke,5,2025-11-04 13:04:52,oke,Positif,UI/UX,0.38028770685195923
sangat bagus,5,2025-11-04 10:58:26,sangat bagus,Positif,UI/UX,0.41830334067344666
di aplikasi tlg di update agar ada menu utk menyimpan kota² favorite,5,2025-11-04 08:41:48,di aplikasi tlg di update agar ada menu utk menyimpan kota² favorite,Positif,UI/UX,0.9548279643058777
butuh widget,5,2025-11-03 23:46:50,butuh widget,Positif,UI/UX,0.524518609046936
mantap,5,2025-11-03 11:29:02,mantap,Positif,UI/UX,0.41766366362571716
infonya akurat,5,2025-11-02 23:50:58,infonya akurat,Positif,UI/UX,0.5013353824615479
baik,5,2025-11-02 16:38:49,baik,Positif,UI/UX,0.4258517920970917
Mantap aplikasi nya sangat membantu sekali,5,2025-11-02 07:35:48,mantap aplikasi nya sangat membantu sekali,Positif,UI/UX,0.9404612183570862
cepat akurat,5,2025-11-02 05:19:52,cepat akurat,Positif,UI/UX,0.6042823791503906
"setelah di update, di bagian itur iklim gak ada data terkait tentang hujan",3,2025-11-02 03:13:53,setelah di update di bagian itur iklim gak ada data terkait tentang hujan,Netral,Akurasi,0.511113166809082
oh oh,5,2025-11-01 18:58:19,oh oh,Positif,UI/UX,0.4485341012477875
"Bagus, Tapi masih banyak yang kurang, seperti tampilan ui ux kurang memuaskan, fitur yang tidak dijelaskan maksud kegunaannya, membuat penggunanya kebingungan, dan terkait fungsi respon kecepatan dalam terjadinya gempa, saya rasa masih kurang, mungkin di akibatkan sedikitnya sensor untuk pantauan gempa dan kekurangan dana untuk membelinya, tapi menurut saya tetap harus di optimalkan dan diperjuangkan sistem peringatan dini, tapi banyak solusi yang murah untuk merancang sistem sensor iot",3,2025-11-01 18:39:59,bagus tapi masih banyak yang kurang seperti tampilan ui ux kurang memuaskan fitur yang tidak dijelaskan maksud kegunaannya membuat penggunanya kebingungan dan terkait fungsi respon kecepatan dalam terjadinya gempa saya rasa masih kurang mungkin di akibatkan sedikitnya sensor untuk pantauan gempa dan kekurangan dana untuk membelinya tapi menurut saya tetap harus di optimalkan dan diperjuangkan sistem peringatan dini tapi banyak solusi yang murah untuk merancang sistem sensor iot,Netral,UI/UX,0.5933825373649597
aplikasi nya agak lemot sama gak lengkap,4,2025-11-01 16:51:31,aplikasi nya agak lemot sama gak lengkap,Positif,Performa,0.9780480265617371
jadi tau cuaca dan informasi alam lainnya,5,2025-11-01 14:12:18,jadi tau cuaca dan informasi alam lainnya,Positif,Performa,0.44631287455558777
kurasi akurat,5,2025-11-01 06:45:33,kurasi akurat,Positif,UI/UX,0.5367950797080994
Cek getaran akurat menggunakan aplikasi ini. Prediktif.,5,2025-11-01 00:57:25,cek getaran akurat menggunakan aplikasi ini prediktif,Positif,Akurasi,0.8672640323638916
Ui ketutupan,1,2025-11-01 00:33:15,ui ketutupan,Negatif,Akurasi,0.5036180019378662
sangat bagus dan cocok untuk di gunakan,5,2025-10-31 20:24:55,sangat bagus dan cocok untuk di gunakan,Positif,UI/UX,0.4409794807434082
"Aplikasi yg akurat, sesuai keadaan langsung di lapangan atau daerah setempat, semoga lebih baik lagi dan banyak bermafaat bagi rakyat Indonesia, aku suka dan terima kasih.",5,2025-10-31 19:38:21,aplikasi yg akurat sesuai keadaan langsung di lapangan atau daerah setempat semoga lebih baik lagi dan banyak bermafaat bagi rakyat indonesia aku suka dan terima kasih,Positif,UI/UX,0.9851192235946655
sangat membantu prakiraan Cuaca Sekitar,5,2025-10-31 19:10:58,sangat membantu prakiraan cuaca sekitar,Positif,Akurasi,0.8442763686180115
"masih belum ada tampilan untuk widget, dan tidak bisa lokasi disematkan sesuai domisili",3,2025-10-31 07:06:52,masih belum ada tampilan untuk widget dan tidak bisa lokasi disematkan sesuai domisili,Netral,Performa,0.5886310338973999
"Akurat dan sangat membantu memperkirakan cuaca di sekitar daerah. Selalu kecolongan banjir dan aplikasi ini benar-benar menyelamatkan hidup saya, Terimakasih 🙏😇",5,2025-10-31 03:23:11,akurat dan sangat membantu memperkirakan cuaca di sekitar daerah selalu kecolongan banjir dan aplikasi ini benar benar menyelamatkan hidup saya terimakasih,Positif,Akurasi,0.9854134321212769
lumayan gempa rilll cuaca juga rill,5,2025-10-30 09:38:05,lumayan gempa rilll cuaca juga rill,Positif,Akurasi,0.8775458931922913
tidak Akurat katanya aplikasi cuaca paling akurat tulisannya hujan tapi gak hujan,1,2025-10-30 03:58:14,tidak akurat katanya aplikasi cuaca paling akurat tulisannya hujan tapi gak hujan,Negatif,UI/UX,0.9368845224380493
kenapa aplikasinya tidak bisa di buka?,1,2025-10-28 21:24:28,kenapa aplikasinya tidak bisa di buka,Negatif,UI/UX,0.7425589561462402
"Pemberitahuan peringatan cuacanya perlu diperbaiki karena selalu telat. Misalnya, peringatan hujan deras jam 15:35, tetapi notifikasi baru muncul jam 16:05.",3,2025-10-28 16:45:50,pemberitahuan peringatan cuacanya perlu diperbaiki karena selalu telat misalnya peringatan hujan deras jam 15 35 tetapi notifikasi baru muncul jam 16 05,Netral,Performa,0.8672205805778503
sering eror bug,1,2025-10-27 18:26:33,sering eror bug,Negatif,Performa,0.4537199139595032
aplikasi nya ngebug mau keluar tapi gak bisa,4,2025-10-27 15:34:02,aplikasi nya ngebug mau keluar tapi gak bisa,Positif,UI/UX,0.6000348329544067
"gempa sudah selesai, baru notifikasi masuk. Mohon kinerja diperbaiki😌",3,2025-10-27 00:15:49,gempa sudah selesai baru notifikasi masuk mohon kinerja diperbaiki,Netral,Akurasi,0.5974522233009338
"Saran min, di cuaca harusnya bisa masukin alamat lebih dari 1, jadi bisa mantau cuaca beberapa daerah tanpa ganti ganti alamat",5,2025-10-26 19:30:35,saran min di cuaca harusnya bisa masukin alamat lebih dari 1 jadi bisa mantau cuaca beberapa daerah tanpa ganti ganti alamat,Positif,Akurasi,0.42579618096351624
bmkg meleset.bmkg orqng2nya pada tidur ya. masa hujan jam sampe jam 9 malam kenyataannya gak hujan. BMKG makan gaji buta ya,1,2025-10-25 11:33:38,bmkg meleset bmkg orqng2nya pada tidur ya masa hujan jam sampe jam 9 malam kenyataannya gak hujan bmkg makan gaji buta ya,Negatif,Akurasi,0.5895934700965881
Terima Kasih. 🙏🏻 Sangat Membantu Sekali.,5,2025-10-25 10:51:21,terima kasih sangat membantu sekali,Positif,Performa,0.36612632870674133
tolong untuk aplikasi BMKG tambahkan fitur widget cuaca dalam sehari terdiri dari beberapa jam di jamin oke lah ... kalau sudah saya kasih rating deh ... saya berharap ada yah kak,4,2025-10-25 05:18:38,tolong untuk aplikasi bmkg tambahkan fitur widget cuaca dalam sehari terdiri dari beberapa jam di jamin oke lah kalau sudah saya kasih rating deh saya berharap ada yah kak,Positif,UI/UX,0.4176248013973236
tolong infonya gempa dan cuaca sangat sangat terlambat notifikasi pembemberitahuannya diharap untuk diperbaiki agar prediksi nitifikasi cepat masuk,2,2025-10-21 21:12:15,tolong infonya gempa dan cuaca sangat sangat terlambat notifikasi pembemberitahuannya diharap untuk diperbaiki agar prediksi nitifikasi cepat masuk,Negatif,Performa,0.9558733105659485
"Sangat membantu sihh..,tp kenapa titiknya gunung sahari ya skrang?",4,2025-10-21 06:40:46,sangat membantu sihh tp kenapa titiknya gunung sahari ya skrang,Positif,Akurasi,0.7214961647987366
aplikasi BMKG ini sangat bermanfaat untuk melihat kondisi cuaca terkini dan juga dilengkapi dengan pemberitahuan gempa,5,2025-10-20 16:59:44,aplikasi bmkg ini sangat bermanfaat untuk melihat kondisi cuaca terkini dan juga dilengkapi dengan pemberitahuan gempa,Positif,UI/UX,0.5579633712768555
gunung sahari terus..😄😄,2,2025-10-20 06:37:32,gunung sahari terus,Negatif,Akurasi,0.8829893469810486
"informasi yang ditanpilkan tidak jelas, lemot",1,2025-10-19 17:49:49,informasi yang ditanpilkan tidak jelas lemot,Negatif,Performa,0.8772452473640442
sangat ber manfaat,5,2025-10-17 20:44:54,sangat ber manfaat,Positif,UI/UX,0.5178220272064209
"sayang sekali, tidak ada widget",2,2025-10-15 09:56:43,sayang sekali tidak ada widget,Negatif,Performa,0.5698493719100952
"gak berkembang malah jadi berat, dan gak bisa lagi liat index ultraviolet.",2,2025-10-15 09:33:36,gak berkembang malah jadi berat dan gak bisa lagi liat index ultraviolet,Negatif,Akurasi,0.7466612458229065
prakiraan cuacanya salah trus,1,2025-10-14 13:49:37,prakiraan cuacanya salah trus,Negatif,Performa,0.460435152053833
keren aku suka🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩,5,2025-10-14 08:01:00,keren aku suka,Positif,Akurasi,0.3912782669067383
sangat bermanfaat,5,2025-10-13 06:49:49,sangat bermanfaat,Positif,UI/UX,0.4676925539970398
Aplikasi dari. Info. Bmkg ini tentunya sangat. Membantu dan dapat cepat mengetahui tentang peristiwa alam maupun bencana. Yang terjadi saat ini dan lebih dini. Sehingga kita dapat cepat mengetahui dan sama sama mengatasi dan memberikan bantuan yang dibutuhkan..,5,2025-10-12 22:24:52,aplikasi dari info bmkg ini tentunya sangat membantu dan dapat cepat mengetahui tentang peristiwa alam maupun bencana yang terjadi saat ini dan lebih dini sehingga kita dapat cepat mengetahui dan sama sama mengatasi dan memberikan bantuan yang dibutuhkan,Positif,Akurasi,0.507619321346283
kurang akurat,3,2025-10-12 15:12:21,kurang akurat,Netral,Performa,0.5122045874595642
"kebanyakan notifikasi berisik,,, notifikasi hujan dijakarta, padahal saya tinggal dijambi,, buat apa? tolong diperbaiki",1,2025-10-12 12:14:50,kebanyakan notifikasi berisik notifikasi hujan dijakarta padahal saya tinggal dijambi buat apa tolong diperbaiki,Negatif,Performa,0.5853704214096069
hari Minggu gak ada update untuk himawari-9 EH nya... uninstall dulu dah,1,2025-10-12 11:28:14,hari minggu gak ada update untuk himawari 9 eh nya uninstall dulu dah,Negatif,UI/UX,0.7130166292190552
New version update version New update Version New Device Samsung galaxy New update Version supported on mobile,5,2025-10-11 17:19:06,new version update version new update version new device samsung galaxy new update version supported on mobile,Positif,UI/UX,0.5805497169494629
"lokasi tidak bisa ganti, selalu di gunung sahari selatan,.. mode bahasa juga tidak bisa di ganti..",1,2025-10-11 01:47:01,lokasi tidak bisa ganti selalu di gunung sahari selatan mode bahasa juga tidak bisa di ganti,Negatif,Akurasi,0.8883864879608154
Notifikasi Lokasi dan cuaca seharusnya langsung mendeteksi aktual lokasi. Tidak perlu mengatur secara manual.,1,2025-10-10 19:46:58,notifikasi lokasi dan cuaca seharusnya langsung mendeteksi aktual lokasi tidak perlu mengatur secara manual,Negatif,Akurasi,0.9777211546897888
ok mantap,5,2025-10-10 16:01:05,ok mantap,Positif,Akurasi,0.42046427726745605
HALO?INI APLIKASI PENYELAMAT BANYAK NYAWA TERUS INI ABIS UPDATE?KO TAMBAH MAKIN BURUK SIH?MASUK CUMAN MENTOK LOGO?SINYAL LANCAR TAPI LOST CONNECTION?TEFAKK!,1,2025-10-10 10:03:24,halo ini aplikasi penyelamat banyak nyawa terus ini abis update ko tambah makin buruk sih masuk cuman mentok logo sinyal lancar tapi lost connection tefakk,Negatif,Performa,0.6200921535491943
"Untuk fitur yang ada sudah bagus, tetapi tolong tambahkan notifikasi khusus terutama untuk gempa, peringatan dini tsunami, dan badai agar semakin lengkap",5,2025-10-10 10:01:16,untuk fitur yang ada sudah bagus tetapi tolong tambahkan notifikasi khusus terutama untuk gempa peringatan dini tsunami dan badai agar semakin lengkap,Positif,Akurasi,0.7921993136405945
apk error,1,2025-10-10 09:43:11,apk error,Negatif,UI/UX,0.6958838701248169
kurang akurat bikin satu kampung geger dengan mlesetnya prediksi cuaca,4,2025-10-09 20:42:37,kurang akurat bikin satu kampung geger dengan mlesetnya prediksi cuaca,Positif,Performa,0.9795718789100647
info lokasi gunung sahari kapn mw diperbaiki.... sudah setengah tahun lho...,3,2025-10-09 15:23:34,info lokasi gunung sahari kapn mw diperbaiki sudah setengah tahun lho,Netral,Akurasi,0.8131892085075378
tidak bagus jelek Lambat informasi,1,2025-10-08 16:40:43,tidak bagus jelek lambat informasi,Negatif,Performa,0.9455783367156982
perlu ditingkatkan lagi kemudahan pada tampilan android dan jangan ada iklan,4,2025-10-08 06:13:56,perlu ditingkatkan lagi kemudahan pada tampilan android dan jangan ada iklan,Positif,UI/UX,0.6196812987327576
Kami sangat berharap aplikasi ini selalu menyediakan info yg terupdate. selalu di update cuaca maritimnya.,5,2025-10-07 15:19:39,kami sangat berharap aplikasi ini selalu menyediakan info yg terupdate selalu di update cuaca maritimnya,Positif,Akurasi,0.7417455911636353
"Desa/Kelurahan yang masuk wilayah Kabupaten Bogor, Kabupaten Bekasi & Kabupaten Tangerang kalau dapat notifikasi Peringatan Dini Cuaca wilayahnya bukan Peringatan Dini Cuaca untuk wilayah JABODETABEK.",2,2025-10-07 14:21:23,desa kelurahan yang masuk wilayah kabupaten bogor kabupaten bekasi kabupaten tangerang kalau dapat notifikasi peringatan dini cuaca wilayahnya bukan peringatan dini cuaca untuk wilayah jabodetabek,Negatif,Akurasi,0.5950922966003418
"Lokasi saya di Cilebut Barat, Sukaraja, Kabupaten Bogor kalau dapet notifikasi munculnya berita Peringatan Dini cuaca yang akan terjadi di Wilayah Jawa Barat (Jawa Barat nggak termasuk BoDeBek), tp ketika ubah lokasi secara manual menjadi Ciganjur, Jagakarsa, Jakarta dapet beritanya Jabodetabek. Jd yang wilayah Jabodetabek selain Jakarta kalau dapet notifikasi Peringatan Dini nggak sesuai wilayahnya. Dan tampilan bawah di perangkat saya (Galaxy A33 5G) bertabrakan dengan tombol Bilah Navigasi.",3,2025-10-05 17:18:24,lokasi saya di cilebut barat sukaraja kabupaten bogor kalau dapet notifikasi munculnya berita peringatan dini cuaca yang akan terjadi di wilayah jawa barat jawa barat nggak termasuk bodebek tp ketika ubah lokasi secara manual menjadi ciganjur jagakarsa jakarta dapet beritanya jabodetabek jd yang wilayah jabodetabek selain jakarta kalau dapet notifikasi peringatan dini nggak sesuai wilayahnya dan tampilan bawah di perangkat saya galaxy a33 5g bertabrakan dengan tombol bilah navigasi,Netral,UI/UX,0.5126190781593323
"bagis, tapi tolong jika ada peringatan gempa ato apapun, terlalu telat taunya sehingga prsiapan kurang matang. tolong diperbaiki untuk notifikasi peringatan gempanya",3,2025-10-05 16:55:42,bagis tapi tolong jika ada peringatan gempa ato apapun terlalu telat taunya sehingga prsiapan kurang matang tolong diperbaiki untuk notifikasi peringatan gempanya,Netral,Performa,0.702555775642395
Di update malah BUG dimana-mana,1,2025-10-04 22:30:24,di update malah bug dimana mana,Negatif,Performa,0.37852776050567627
"ADMIN TOLONG APLIKASINYA DIPERBAIKI, UPDATE KOK JADI JELEK, TITIK LOKASI TDK SESUAI PADAHAL SUDAH DI SETTING MANUAL ATAU GPS",1,2025-10-04 19:54:05,admin tolong aplikasinya diperbaiki update kok jadi jelek titik lokasi tdk sesuai padahal sudah di setting manual atau gps,Negatif,UI/UX,0.7888723015785217
"aplikasi ini tidak berguna, udah benar saya liat lokasi, misal besoknya hari cerah, ehh taunya hari hujan👎",1,2025-10-04 06:54:39,aplikasi ini tidak berguna udah benar saya liat lokasi misal besoknya hari cerah ehh taunya hari hujan,Negatif,Performa,0.7172384262084961
sangat membantu sekali,5,2025-10-03 19:28:25,sangat membantu sekali,Positif,UI/UX,0.44647061824798584
"sangat bagus, sebagai panduan keseharian",5,2025-10-03 07:32:19,sangat bagus sebagai panduan keseharian,Positif,UI/UX,0.46529459953308105
notifikasi gempanya terlambat 2jam setengah. informasi yang sangat2 terlambat. tolong di perbaiki,1,2025-10-03 06:27:20,notifikasi gempanya terlambat 2jam setengah informasi yang sangat2 terlambat tolong di perbaiki,Negatif,Performa,0.9786641597747803
gasuka.. aku liat real-time gempa bumi gak muncul sama sekali udah berhari hari. payah,1,2025-10-02 06:36:22,gasuka aku liat real time gempa bumi gak muncul sama sekali udah berhari hari payah,Negatif,Akurasi,0.660552978515625
zaa,1,2025-10-01 23:20:06,zaa,Negatif,UI/UX,0.4372110664844513
fitur citra satelit error agaknya... tanggal benar tapi waktu yg ditunjukan tidak sesuai atau tidak realtime.,3,2025-10-01 13:05:16,fitur citra satelit error agaknya tanggal benar tapi waktu yg ditunjukan tidak sesuai atau tidak realtime,Netral,Akurasi,0.34275761246681213
hbs updet mlah sering keluar aplikasi sendiri,1,2025-10-01 10:57:32,hbs updet mlah sering keluar aplikasi sendiri,Negatif,UI/UX,0.8190289735794067
Harap lokasi bisa diperbaiki agar bisa sesuai dengan lokasi pengguna aplikasi...sudah saya ubah lewat GPS maupun dengan memasukan kelurahan/desa lokasi tetap kembali lagi ke gunung sahari selatan setelah keluar dari aplikasi...karena saya sebagai pengguna ingin cepat untuk mengetahui perkiraan cuaca dilokasi saya secara otomatis setelah membuka aplikasi tanpa harus ubah lokasi secara manual,3,2025-10-01 05:19:34,harap lokasi bisa diperbaiki agar bisa sesuai dengan lokasi pengguna aplikasi sudah saya ubah lewat gps maupun dengan memasukan kelurahan desa lokasi tetap kembali lagi ke gunung sahari selatan setelah keluar dari aplikasi karena saya sebagai pengguna ingin cepat untuk mengetahui perkiraan cuaca dilokasi saya secara otomatis setelah membuka aplikasi tanpa harus ubah lokasi secara manual,Netral,UI/UX,0.8313454389572144
"Sangat bagus, tapi kenapa titik lokasinya menjadi gunung sahari, padahal sudah setting lokasi pakai gps dan manual juga.",5,2025-10-01 00:00:53,sangat bagus tapi kenapa titik lokasinya menjadi gunung sahari padahal sudah setting lokasi pakai gps dan manual juga,Positif,Akurasi,0.48719412088394165
sangat membantu kami sebagai relawan kemanusiaan... Terima kasih,5,2025-09-30 18:48:08,sangat membantu kami sebagai relawan kemanusiaan terima kasih,Positif,Performa,0.41253963112831116
sangat mambatu,5,2025-09-30 14:44:58,sangat mambatu,Positif,Performa,0.3941839933395386
mohon sering diberitakan musim jarak 3 s/d 6 bulan yang akan datang,5,2025-09-30 08:53:40,mohon sering diberitakan musim jarak 3 s d 6 bulan yang akan datang,Positif,Akurasi,0.4915516972541809
Good,5,2025-09-30 06:11:38,good,Positif,UI/UX,0.4395790696144104
"tolong di perbaiki lagi ya🙏 untuk pemberitahuan gempanya sangat lama sekitar 30 menit sesudah kejadian baru muncul pemberitahuan ,, seharusnya kan pas kejadian langsung ada tuh pemberitahuan nya,,lebih bagus sih sebelum nya,,, terimakasih",2,2025-09-30 05:44:38,tolong di perbaiki lagi ya untuk pemberitahuan gempanya sangat lama sekitar 30 menit sesudah kejadian baru muncul pemberitahuan seharusnya kan pas kejadian langsung ada tuh pemberitahuan nya lebih bagus sih sebelum nya terimakasih,Negatif,Performa,0.9459960460662842
daerah sampit kalimantan tengah gaada padahala ada kantor bmkg disini,4,2025-09-30 04:20:34,daerah sampit kalimantan tengah gaada padahala ada kantor bmkg disini,Positif,Performa,0.42139899730682373
keren dan bagus,5,2025-09-29 23:25:13,keren dan bagus,Positif,Akurasi,0.3983205556869507
nice,5,2025-09-29 23:01:29,nice,Positif,UI/UX,0.40826621651649475
akurat terimakasih sangat membantu,5,2025-09-29 18:19:46,akurat terimakasih sangat membantu,Positif,Performa,0.381175696849823
