Komentar,Bintang,Tanggal,clean_text,Emosi
bagus untuk cuaca hujan atau kemarau,5,2025-11-12 17:37:18,bagus untuk cuaca hujan atau kemarau,bahagia
"sebenarnya aplikasinya membantu untuk perkiraan cuaca, tapi untuk liat cuaca secara realtime tidak akurat dan notifikasi sangat lambat, misal hujan di jam 16.50 notifnya muncul di menit 17.25 dengan kalimat 'akan hujan di jam 17.00'",3,2025-11-12 17:28:00,sebenarnya aplikasinya membantu untuk perkiraan cuaca tapi untuk liat cuaca secara realtime tidak akurat dan notifikasi sangat lambat misal hujan di jam 16 50 notifnya muncul di menit 17 25 dengan kalimat akan hujan di jam 17 00,bahagia
kurang akurat selalu terlambat impormasinya,2,2025-11-12 01:53:50,kurang akurat selalu terlambat impormasinya,marah
sering TDK BS dibuka,1,2025-11-11 21:48:36,sering tdk bs dibuka,sedih
aplikasi tidak akurat,1,2025-11-11 18:33:42,aplikasi tidak akurat,sedih
"aplikasi stuck di logo, ""poco m6 pro""",1,2025-11-11 15:35:58,aplikasi stuck di logo poco m6 pro,marah
aplikasi pemerintah yang paling bagus,5,2025-11-11 07:41:43,aplikasi pemerintah yang paling bagus,bahagia
MANTAP,5,2025-11-11 07:31:47,mantap,bahagia
tidak bisa di buka cuma muncul logonya saja,1,2025-11-11 07:04:59,tidak bisa di buka cuma muncul logonya saja,marah
Sangat Bermanfaat,5,2025-11-10 23:09:31,sangat bermanfaat,bahagia
saya. kasi bintang. 3 aja dulu kalau bagus saya tambah 2 bintang,3,2025-11-10 21:11:59,saya kasi bintang 3 aja dulu kalau bagus saya tambah 2 bintang,marah
lemot banget skrg kalo dibuka stuck di logo bmkg doangggggg,1,2025-11-09 18:29:30,lemot banget skrg kalo dibuka stuck di logo bmkg doangggggg,marah
"semoga cuaca selalu menyenangkan, aamiin 🤲",5,2025-11-09 14:48:59,semoga cuaca selalu menyenangkan aamiin,bahagia
ini adalah raja info gempa bagus banget lagi,5,2025-11-09 10:52:11,ini adalah raja info gempa bagus banget lagi,bahagia
"tidak bisa setting lokasi dengan GPS. walaupun sudah memberi izin di perangkat Android, tetap tidak bisa.",2,2025-11-09 10:44:19,tidak bisa setting lokasi dengan gps walaupun sudah memberi izin di perangkat android tetap tidak bisa,bahagia
Tidak akurat,1,2025-11-08 23:51:41,tidak akurat,sedih
"masih ngadat, ga kebuka",5,2025-11-08 22:14:17,masih ngadat ga kebuka,takut
keren,5,2025-11-07 10:26:05,keren,bahagia
kenapa di hp saya tdk bisa muncul widged BMKG?,5,2025-11-07 00:16:14,kenapa di hp saya tdk bisa muncul widged bmkg,marah
ok,5,2025-11-06 18:41:36,ok,bahagia
bagus sekali tapi bug nya tolong diperbaiki,5,2025-11-06 16:59:57,bagus sekali tapi bug nya tolong diperbaiki,bahagia
gabisa dibuka,5,2025-11-06 13:29:37,gabisa dibuka,sedih
sebelum cek beri bintang 1 dulu,1,2025-11-06 04:29:26,sebelum cek beri bintang 1 dulu,marah
"ngawur banget gpsnya,ga akurat",1,2025-11-05 15:39:38,ngawur banget gpsnya ga akurat,sedih
bagus untuk melihat Jadwal Cuaca,4,2025-11-05 14:59:34,bagus untuk melihat jadwal cuaca,bahagia
setiap mau buka aplikasi nya selalu aja ngestuck di logo loading😤,1,2025-11-05 10:06:30,setiap mau buka aplikasi nya selalu aja ngestuck di logo loading,sedih
app sangat bagus,5,2025-11-05 07:10:33,app sangat bagus,bahagia
bagus,5,2025-11-05 07:04:14,bagus,bahagia
sangat membantu untuk peringatan dini,5,2025-11-05 06:48:16,sangat membantu untuk peringatan dini,takut
"tidak bisa setting ke daerah setempat, sudah ganti gps, set ke lokasi saat ini, selalu berubah lsgi ke lokasi gunung sahari selatan. udh update masih jg. perbaiki ya.",1,2025-11-05 02:04:46,tidak bisa setting ke daerah setempat sudah ganti gps set ke lokasi saat ini selalu berubah lsgi ke lokasi gunung sahari selatan udh update masih jg perbaiki ya,marah
Sangat membantu di keadaan anomali cuaca saat ini.,5,2025-11-04 23:50:13,sangat membantu di keadaan anomali cuaca saat ini,bahagia
potentially good ini. saya akan selalu kasih masukan baik buruknya ini aplikasi. beneran mirip view weather,5,2025-11-04 21:43:44,potentially good ini saya akan selalu kasih masukan baik buruknya ini aplikasi beneran mirip view weather,bahagia
Akurasinya bagus,5,2025-11-04 21:18:21,akurasinya bagus,bahagia
aplikasi yang sangat bagus dan sangat akurat,5,2025-11-04 18:11:32,aplikasi yang sangat bagus dan sangat akurat,bahagia
kurang akurat. terjadi satu jam baru informasinya keluar,1,2025-11-04 16:29:13,kurang akurat terjadi satu jam baru informasinya keluar,bahagia
oke,5,2025-11-04 13:04:52,oke,bahagia
sangat bagus,5,2025-11-04 10:58:26,sangat bagus,bahagia
di aplikasi tlg di update agar ada menu utk menyimpan kota² favorite,5,2025-11-04 08:41:48,di aplikasi tlg di update agar ada menu utk menyimpan kota² favorite,bahagia
butuh widget,5,2025-11-03 23:46:50,butuh widget,marah
mantap,5,2025-11-03 11:29:02,mantap,bahagia
infonya akurat,5,2025-11-02 23:50:58,infonya akurat,bahagia
sangat bagus,5,2025-11-02 19:08:56,sangat bagus,bahagia
bagus,5,2025-11-02 18:24:24,bagus,bahagia
baik,5,2025-11-02 16:38:49,baik,bahagia
Mantap aplikasi nya sangat membantu sekali,5,2025-11-02 07:35:48,mantap aplikasi nya sangat membantu sekali,bahagia
cepat akurat,5,2025-11-02 05:19:52,cepat akurat,marah
"setelah di update, di bagian itur iklim gak ada data terkait tentang hujan",3,2025-11-02 03:13:53,setelah di update di bagian itur iklim gak ada data terkait tentang hujan,marah
oh oh,5,2025-11-01 18:58:19,oh oh,sedih
"Bagus, Tapi masih banyak yang kurang, seperti tampilan ui ux kurang memuaskan, fitur yang tidak dijelaskan maksud kegunaannya, membuat penggunanya kebingungan, dan terkait fungsi respon kecepatan dalam terjadinya gempa, saya rasa masih kurang, mungkin di akibatkan sedikitnya sensor untuk pantauan gempa dan kekurangan dana untuk membelinya, tapi menurut saya tetap harus di optimalkan dan diperjuangkan sistem peringatan dini, tapi banyak solusi yang murah untuk merancang sistem sensor iot",3,2025-11-01 18:39:59,bagus tapi masih banyak yang kurang seperti tampilan ui ux kurang memuaskan fitur yang tidak dijelaskan maksud kegunaannya membuat penggunanya kebingungan dan terkait fungsi respon kecepatan dalam terjadinya gempa saya rasa masih kurang mungkin di akibatkan sedikitnya sensor untuk pantauan gempa dan kekurangan dana untuk membelinya tapi menurut saya tetap harus di optimalkan dan diperjuangkan sistem peringatan dini tapi banyak solusi yang murah untuk merancang sistem sensor iot,bahagia
aplikasi nya agak lemot sama gak lengkap,4,2025-11-01 16:51:31,aplikasi nya agak lemot sama gak lengkap,sedih
jadi tau cuaca dan informasi alam lainnya,5,2025-11-01 14:12:18,jadi tau cuaca dan informasi alam lainnya,bahagia
sangat membantu,5,2025-11-01 07:23:59,sangat membantu,bahagia
kurasi akurat,5,2025-11-01 06:45:33,kurasi akurat,bahagia
Cek getaran akurat menggunakan aplikasi ini. Prediktif.,5,2025-11-01 00:57:25,cek getaran akurat menggunakan aplikasi ini prediktif,bahagia
Ui ketutupan,1,2025-11-01 00:33:15,ui ketutupan,takut
ok,5,2025-10-31 20:35:13,ok,bahagia
sangat bagus dan cocok untuk di gunakan,5,2025-10-31 20:24:55,sangat bagus dan cocok untuk di gunakan,bahagia
sangat membantu,5,2025-10-31 20:16:40,sangat membantu,bahagia
"Aplikasi yg akurat, sesuai keadaan langsung di lapangan atau daerah setempat, semoga lebih baik lagi dan banyak bermafaat bagi rakyat Indonesia, aku suka dan terima kasih.",5,2025-10-31 19:38:21,aplikasi yg akurat sesuai keadaan langsung di lapangan atau daerah setempat semoga lebih baik lagi dan banyak bermafaat bagi rakyat indonesia aku suka dan terima kasih,bahagia
sangat membantu prakiraan Cuaca Sekitar,5,2025-10-31 19:10:58,sangat membantu prakiraan cuaca sekitar,bahagia
"masih belum ada tampilan untuk widget, dan tidak bisa lokasi disematkan sesuai domisili",3,2025-10-31 07:06:52,masih belum ada tampilan untuk widget dan tidak bisa lokasi disematkan sesuai domisili,marah
"Akurat dan sangat membantu memperkirakan cuaca di sekitar daerah. Selalu kecolongan banjir dan aplikasi ini benar-benar menyelamatkan hidup saya, Terimakasih 🙏😇",5,2025-10-31 03:23:11,akurat dan sangat membantu memperkirakan cuaca di sekitar daerah selalu kecolongan banjir dan aplikasi ini benar benar menyelamatkan hidup saya terimakasih,bahagia
lumayan gempa rilll cuaca juga rill,5,2025-10-30 09:38:05,lumayan gempa rilll cuaca juga rill,marah
tidak Akurat katanya aplikasi cuaca paling akurat tulisannya hujan tapi gak hujan,1,2025-10-30 03:58:14,tidak akurat katanya aplikasi cuaca paling akurat tulisannya hujan tapi gak hujan,takut
kenapa aplikasinya tidak bisa di buka?,1,2025-10-28 21:24:28,kenapa aplikasinya tidak bisa di buka,bahagia
"Pemberitahuan peringatan cuacanya perlu diperbaiki karena selalu telat. Misalnya, peringatan hujan deras jam 15:35, tetapi notifikasi baru muncul jam 16:05.",3,2025-10-28 16:45:50,pemberitahuan peringatan cuacanya perlu diperbaiki karena selalu telat misalnya peringatan hujan deras jam 15 35 tetapi notifikasi baru muncul jam 16 05,takut
sering eror bug,1,2025-10-27 18:26:33,sering eror bug,sedih
aplikasi nya ngebug mau keluar tapi gak bisa,4,2025-10-27 15:34:02,aplikasi nya ngebug mau keluar tapi gak bisa,marah
"gempa sudah selesai, baru notifikasi masuk. Mohon kinerja diperbaiki😌",3,2025-10-27 00:15:49,gempa sudah selesai baru notifikasi masuk mohon kinerja diperbaiki,marah
"Saran min, di cuaca harusnya bisa masukin alamat lebih dari 1, jadi bisa mantau cuaca beberapa daerah tanpa ganti ganti alamat",5,2025-10-26 19:30:35,saran min di cuaca harusnya bisa masukin alamat lebih dari 1 jadi bisa mantau cuaca beberapa daerah tanpa ganti ganti alamat,marah
bmkg meleset.bmkg orqng2nya pada tidur ya. masa hujan jam sampe jam 9 malam kenyataannya gak hujan. BMKG makan gaji buta ya,1,2025-10-25 11:33:38,bmkg meleset bmkg orqng2nya pada tidur ya masa hujan jam sampe jam 9 malam kenyataannya gak hujan bmkg makan gaji buta ya,sedih
Terima Kasih. 🙏🏻 Sangat Membantu Sekali.,5,2025-10-25 10:51:21,terima kasih sangat membantu sekali,bahagia
tolong untuk aplikasi BMKG tambahkan fitur widget cuaca dalam sehari terdiri dari beberapa jam di jamin oke lah ... kalau sudah saya kasih rating deh ... saya berharap ada yah kak,4,2025-10-25 05:18:38,tolong untuk aplikasi bmkg tambahkan fitur widget cuaca dalam sehari terdiri dari beberapa jam di jamin oke lah kalau sudah saya kasih rating deh saya berharap ada yah kak,marah
tolong infonya gempa dan cuaca sangat sangat terlambat notifikasi pembemberitahuannya diharap untuk diperbaiki agar prediksi nitifikasi cepat masuk,2,2025-10-21 21:12:15,tolong infonya gempa dan cuaca sangat sangat terlambat notifikasi pembemberitahuannya diharap untuk diperbaiki agar prediksi nitifikasi cepat masuk,takut
"Sangat membantu sihh..,tp kenapa titiknya gunung sahari ya skrang?",4,2025-10-21 06:40:46,sangat membantu sihh tp kenapa titiknya gunung sahari ya skrang,marah
aplikasi BMKG ini sangat bermanfaat untuk melihat kondisi cuaca terkini dan juga dilengkapi dengan pemberitahuan gempa,5,2025-10-20 16:59:44,aplikasi bmkg ini sangat bermanfaat untuk melihat kondisi cuaca terkini dan juga dilengkapi dengan pemberitahuan gempa,bahagia
gunung sahari terus..😄😄,2,2025-10-20 06:37:32,gunung sahari terus,marah
"informasi yang ditanpilkan tidak jelas, lemot",1,2025-10-19 17:49:49,informasi yang ditanpilkan tidak jelas lemot,marah
sangat ber manfaat,5,2025-10-17 20:44:54,sangat ber manfaat,bahagia
"sayang sekali, tidak ada widget",2,2025-10-15 09:56:43,sayang sekali tidak ada widget,sedih
"gak berkembang malah jadi berat, dan gak bisa lagi liat index ultraviolet.",2,2025-10-15 09:33:36,gak berkembang malah jadi berat dan gak bisa lagi liat index ultraviolet,takut
prakiraan cuacanya salah trus,1,2025-10-14 13:49:37,prakiraan cuacanya salah trus,marah
keren aku suka🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩,5,2025-10-14 08:01:00,keren aku suka,bahagia
sangat bermanfaat,5,2025-10-13 06:49:49,sangat bermanfaat,bahagia
Aplikasi dari. Info. Bmkg ini tentunya sangat. Membantu dan dapat cepat mengetahui tentang peristiwa alam maupun bencana. Yang terjadi saat ini dan lebih dini. Sehingga kita dapat cepat mengetahui dan sama sama mengatasi dan memberikan bantuan yang dibutuhkan..,5,2025-10-12 22:24:52,aplikasi dari info bmkg ini tentunya sangat membantu dan dapat cepat mengetahui tentang peristiwa alam maupun bencana yang terjadi saat ini dan lebih dini sehingga kita dapat cepat mengetahui dan sama sama mengatasi dan memberikan bantuan yang dibutuhkan,bahagia
kurang akurat,3,2025-10-12 15:12:21,kurang akurat,sedih
"kebanyakan notifikasi berisik,,, notifikasi hujan dijakarta, padahal saya tinggal dijambi,, buat apa? tolong diperbaiki",1,2025-10-12 12:14:50,kebanyakan notifikasi berisik notifikasi hujan dijakarta padahal saya tinggal dijambi buat apa tolong diperbaiki,sedih
hari Minggu gak ada update untuk himawari-9 EH nya... uninstall dulu dah,1,2025-10-12 11:28:14,hari minggu gak ada update untuk himawari 9 eh nya uninstall dulu dah,marah
ok,5,2025-10-11 19:04:50,ok,bahagia
New version update version New update Version New Device Samsung galaxy New update Version supported on mobile,5,2025-10-11 17:19:06,new version update version new update version new device samsung galaxy new update version supported on mobile,bahagia
"lokasi tidak bisa ganti, selalu di gunung sahari selatan,.. mode bahasa juga tidak bisa di ganti..",1,2025-10-11 01:47:01,lokasi tidak bisa ganti selalu di gunung sahari selatan mode bahasa juga tidak bisa di ganti,bahagia
Notifikasi Lokasi dan cuaca seharusnya langsung mendeteksi aktual lokasi. Tidak perlu mengatur secara manual.,1,2025-10-10 19:46:58,notifikasi lokasi dan cuaca seharusnya langsung mendeteksi aktual lokasi tidak perlu mengatur secara manual,bahagia
ok mantap,5,2025-10-10 16:01:05,ok mantap,bahagia
HALO?INI APLIKASI PENYELAMAT BANYAK NYAWA TERUS INI ABIS UPDATE?KO TAMBAH MAKIN BURUK SIH?MASUK CUMAN MENTOK LOGO?SINYAL LANCAR TAPI LOST CONNECTION?TEFAKK!,1,2025-10-10 10:03:24,halo ini aplikasi penyelamat banyak nyawa terus ini abis update ko tambah makin buruk sih masuk cuman mentok logo sinyal lancar tapi lost connection tefakk,bahagia
"Untuk fitur yang ada sudah bagus, tetapi tolong tambahkan notifikasi khusus terutama untuk gempa, peringatan dini tsunami, dan badai agar semakin lengkap",5,2025-10-10 10:01:16,untuk fitur yang ada sudah bagus tetapi tolong tambahkan notifikasi khusus terutama untuk gempa peringatan dini tsunami dan badai agar semakin lengkap,bahagia
apk error,1,2025-10-10 09:43:11,apk error,marah
kurang akurat bikin satu kampung geger dengan mlesetnya prediksi cuaca,4,2025-10-09 20:42:37,kurang akurat bikin satu kampung geger dengan mlesetnya prediksi cuaca,marah
info lokasi gunung sahari kapn mw diperbaiki.... sudah setengah tahun lho...,3,2025-10-09 15:23:34,info lokasi gunung sahari kapn mw diperbaiki sudah setengah tahun lho,marah
tidak bagus jelek Lambat informasi,1,2025-10-08 16:40:43,tidak bagus jelek lambat informasi,sedih
perlu ditingkatkan lagi kemudahan pada tampilan android dan jangan ada iklan,4,2025-10-08 06:13:56,perlu ditingkatkan lagi kemudahan pada tampilan android dan jangan ada iklan,marah
Kami sangat berharap aplikasi ini selalu menyediakan info yg terupdate. selalu di update cuaca maritimnya.,5,2025-10-07 15:19:39,kami sangat berharap aplikasi ini selalu menyediakan info yg terupdate selalu di update cuaca maritimnya,bahagia
"Desa/Kelurahan yang masuk wilayah Kabupaten Bogor, Kabupaten Bekasi & Kabupaten Tangerang kalau dapat notifikasi Peringatan Dini Cuaca wilayahnya bukan Peringatan Dini Cuaca untuk wilayah JABODETABEK.",2,2025-10-07 14:21:23,desa kelurahan yang masuk wilayah kabupaten bogor kabupaten bekasi kabupaten tangerang kalau dapat notifikasi peringatan dini cuaca wilayahnya bukan peringatan dini cuaca untuk wilayah jabodetabek,takut
"Lokasi saya di Cilebut Barat, Sukaraja, Kabupaten Bogor kalau dapet notifikasi munculnya berita Peringatan Dini cuaca yang akan terjadi di Wilayah Jawa Barat (Jawa Barat nggak termasuk BoDeBek), tp ketika ubah lokasi secara manual menjadi Ciganjur, Jagakarsa, Jakarta dapet beritanya Jabodetabek. Jd yang wilayah Jabodetabek selain Jakarta kalau dapet notifikasi Peringatan Dini nggak sesuai wilayahnya. Dan tampilan bawah di perangkat saya (Galaxy A33 5G) bertabrakan dengan tombol Bilah Navigasi.",3,2025-10-05 17:18:24,lokasi saya di cilebut barat sukaraja kabupaten bogor kalau dapet notifikasi munculnya berita peringatan dini cuaca yang akan terjadi di wilayah jawa barat jawa barat nggak termasuk bodebek tp ketika ubah lokasi secara manual menjadi ciganjur jagakarsa jakarta dapet beritanya jabodetabek jd yang wilayah jabodetabek selain jakarta kalau dapet notifikasi peringatan dini nggak sesuai wilayahnya dan tampilan bawah di perangkat saya galaxy a33 5g bertabrakan dengan tombol bilah navigasi,bahagia
"bagis, tapi tolong jika ada peringatan gempa ato apapun, terlalu telat taunya sehingga prsiapan kurang matang. tolong diperbaiki untuk notifikasi peringatan gempanya",3,2025-10-05 16:55:42,bagis tapi tolong jika ada peringatan gempa ato apapun terlalu telat taunya sehingga prsiapan kurang matang tolong diperbaiki untuk notifikasi peringatan gempanya,bahagia
Di update malah BUG dimana-mana,1,2025-10-04 22:30:24,di update malah bug dimana mana,sedih
"ADMIN TOLONG APLIKASINYA DIPERBAIKI, UPDATE KOK JADI JELEK, TITIK LOKASI TDK SESUAI PADAHAL SUDAH DI SETTING MANUAL ATAU GPS",1,2025-10-04 19:54:05,admin tolong aplikasinya diperbaiki update kok jadi jelek titik lokasi tdk sesuai padahal sudah di setting manual atau gps,sedih
"aplikasi ini tidak berguna, udah benar saya liat lokasi, misal besoknya hari cerah, ehh taunya hari hujan👎",1,2025-10-04 06:54:39,aplikasi ini tidak berguna udah benar saya liat lokasi misal besoknya hari cerah ehh taunya hari hujan,marah
sangat membantu sekali,5,2025-10-03 19:28:25,sangat membantu sekali,bahagia
"sangat bagus, sebagai panduan keseharian",5,2025-10-03 07:32:19,sangat bagus sebagai panduan keseharian,bahagia
notifikasi gempanya terlambat 2jam setengah. informasi yang sangat2 terlambat. tolong di perbaiki,1,2025-10-03 06:27:20,notifikasi gempanya terlambat 2jam setengah informasi yang sangat2 terlambat tolong di perbaiki,takut
baik,5,2025-10-03 00:56:50,baik,bahagia
gasuka.. aku liat real-time gempa bumi gak muncul sama sekali udah berhari hari. payah,1,2025-10-02 06:36:22,gasuka aku liat real time gempa bumi gak muncul sama sekali udah berhari hari payah,sedih
zaa,1,2025-10-01 23:20:06,zaa,sedih
fitur citra satelit error agaknya... tanggal benar tapi waktu yg ditunjukan tidak sesuai atau tidak realtime.,3,2025-10-01 13:05:16,fitur citra satelit error agaknya tanggal benar tapi waktu yg ditunjukan tidak sesuai atau tidak realtime,marah
hbs updet mlah sering keluar aplikasi sendiri,1,2025-10-01 10:57:32,hbs updet mlah sering keluar aplikasi sendiri,marah
Harap lokasi bisa diperbaiki agar bisa sesuai dengan lokasi pengguna aplikasi...sudah saya ubah lewat GPS maupun dengan memasukan kelurahan/desa lokasi tetap kembali lagi ke gunung sahari selatan setelah keluar dari aplikasi...karena saya sebagai pengguna ingin cepat untuk mengetahui perkiraan cuaca dilokasi saya secara otomatis setelah membuka aplikasi tanpa harus ubah lokasi secara manual,3,2025-10-01 05:19:34,harap lokasi bisa diperbaiki agar bisa sesuai dengan lokasi pengguna aplikasi sudah saya ubah lewat gps maupun dengan memasukan kelurahan desa lokasi tetap kembali lagi ke gunung sahari selatan setelah keluar dari aplikasi karena saya sebagai pengguna ingin cepat untuk mengetahui perkiraan cuaca dilokasi saya secara otomatis setelah membuka aplikasi tanpa harus ubah lokasi secara manual,marah
"Sangat bagus, tapi kenapa titik lokasinya menjadi gunung sahari, padahal sudah setting lokasi pakai gps dan manual juga.",5,2025-10-01 00:00:53,sangat bagus tapi kenapa titik lokasinya menjadi gunung sahari padahal sudah setting lokasi pakai gps dan manual juga,bahagia
sangat membantu,5,2025-09-30 23:59:13,sangat membantu,bahagia
sangat membantu kami sebagai relawan kemanusiaan... Terima kasih,5,2025-09-30 18:48:08,sangat membantu kami sebagai relawan kemanusiaan terima kasih,bahagia
sangat mambatu,5,2025-09-30 14:44:58,sangat mambatu,marah
mohon sering diberitakan musim jarak 3 s/d 6 bulan yang akan datang,5,2025-09-30 08:53:40,mohon sering diberitakan musim jarak 3 s d 6 bulan yang akan datang,bahagia
Good,5,2025-09-30 06:11:38,good,bahagia
"tolong di perbaiki lagi ya🙏 untuk pemberitahuan gempanya sangat lama sekitar 30 menit sesudah kejadian baru muncul pemberitahuan ,, seharusnya kan pas kejadian langsung ada tuh pemberitahuan nya,,lebih bagus sih sebelum nya,,, terimakasih",2,2025-09-30 05:44:38,tolong di perbaiki lagi ya untuk pemberitahuan gempanya sangat lama sekitar 30 menit sesudah kejadian baru muncul pemberitahuan seharusnya kan pas kejadian langsung ada tuh pemberitahuan nya lebih bagus sih sebelum nya terimakasih,bahagia
daerah sampit kalimantan tengah gaada padahala ada kantor bmkg disini,4,2025-09-30 04:20:34,daerah sampit kalimantan tengah gaada padahala ada kantor bmkg disini,marah
keren dan bagus,5,2025-09-29 23:25:13,keren dan bagus,bahagia
nice,5,2025-09-29 23:01:29,nice,bahagia
oke,5,2025-09-29 21:38:10,oke,bahagia
akurat terimakasih sangat membantu,5,2025-09-29 18:19:46,akurat terimakasih sangat membantu,bahagia
sekarang kurang akurat infonya,3,2025-09-29 17:06:06,sekarang kurang akurat infonya,sedih
untuk lokasi Purwakarta hilang min,3,2025-09-29 15:03:11,untuk lokasi purwakarta hilang min,sedih
sangat membantu,5,2025-09-29 14:10:04,sangat membantu,bahagia
sangat membantu,5,2025-09-29 12:50:37,sangat membantu,bahagia
bagus sekali!!!¡¡¡,5,2025-09-28 19:54:13,bagus sekali,bahagia
"Kocak bangetttt... Setelah di update, masa titiknya di gunung sahari terus, sudah diperbaiki pakai GPS dan pilih cara manual tetap aja balik ke GUNUNG SAHARI... padahal kita di Pekanbaru Riau.....",5,2025-09-28 16:36:27,kocak bangetttt setelah di update masa titiknya di gunung sahari terus sudah diperbaiki pakai gps dan pilih cara manual tetap aja balik ke gunung sahari padahal kita di pekanbaru riau,bahagia
"jelek kali, informasinya gak to the point, org mau cari tau cuaca jam sekian itu apa, kasih teks jugak biar paham, gak cuman gambar, kasih persentasi hujan berapa persen di jam sekian, bisa buat informasi yg bagus gk sih?, apa gunannya ni aplikasi info bmkg kalau informasi aja setengah""",1,2025-09-28 14:57:27,jelek kali informasinya gak to the point org mau cari tau cuaca jam sekian itu apa kasih teks jugak biar paham gak cuman gambar kasih persentasi hujan berapa persen di jam sekian bisa buat informasi yg bagus gk sih apa gunannya ni aplikasi info bmkg kalau informasi aja setengah,sedih
kok tambah ngaco,3,2025-09-28 11:04:41,kok tambah ngaco,marah
mudah2 semakin akurat presiksi2'nya,5,2025-09-27 23:20:47,mudah2 semakin akurat presiksi2 nya,marah
"di update makin parah , citra satelit gak bisa ditampilkan kadang eror. ganti vendor pembuat aplikasinya yg kompeten",1,2025-09-27 21:30:21,di update makin parah citra satelit gak bisa ditampilkan kadang eror ganti vendor pembuat aplikasinya yg kompeten,marah
bagus,5,2025-09-27 21:16:06,bagus,bahagia
"ok bisa membantu, dalam kewaspadaan",5,2025-09-27 19:13:45,ok bisa membantu dalam kewaspadaan,takut
aplikasi ini sangat di perlukan,5,2025-09-27 17:03:06,aplikasi ini sangat di perlukan,bahagia
Sangat membantu sekali dalam mencari info cuaca 👍,5,2025-09-27 16:56:03,sangat membantu sekali dalam mencari info cuaca,bahagia
Alhamdulillah,5,2025-09-27 16:48:04,alhamdulillah,bahagia
"baru aja dowload lang sing ada peringatan gempa aja terus beneran deh gempa,, bener bener akurat nih aplikasinya",5,2025-09-27 16:24:31,baru aja dowload lang sing ada peringatan gempa aja terus beneran deh gempa bener bener akurat nih aplikasinya,takut
cukup baik,4,2025-09-27 15:13:57,cukup baik,bahagia
kenapa setelah update citra satelit tidak bisa di buka,3,2025-09-27 10:56:42,kenapa setelah update citra satelit tidak bisa di buka,bahagia
bagus,5,2025-09-27 07:36:00,bagus,bahagia
Bagus sekali...👍👍👍👍,5,2025-09-27 07:16:00,bagus sekali,bahagia
"nyaris tepat , sangat bagus sebagai panduan untuk rutinitas kegiatan dlm keseharian",5,2025-09-27 07:14:47,nyaris tepat sangat bagus sebagai panduan untuk rutinitas kegiatan dlm keseharian,bahagia
"Aplikasi yang sangat bagus dan sangat akurat,",5,2025-09-27 04:34:13,aplikasi yang sangat bagus dan sangat akurat,bahagia
sangat membantu,5,2025-09-27 04:23:30,sangat membantu,bahagia
"baru aja pembaruan, citra satelit gk bisa dibuka",5,2025-09-27 03:16:21,baru aja pembaruan citra satelit gk bisa dibuka,marah
sangat membantu sekali bagi saya pribadi dan instansi dalam memberingan informasi dini buat masyarakat,5,2025-09-26 22:47:16,sangat membantu sekali bagi saya pribadi dan instansi dalam memberingan informasi dini buat masyarakat,bahagia
